SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,1260 21st St NW Apt 103,Washington,DC,20036,301000,1,1.0,,478,,1966,,630,,,,,http://www.redfin.com/DC/Washington/1260-21st-St-NW-20036/unit-103/home/9052303,,,N,Y,38.9064424,-77.0468062
PAST SALE,May-30-2017,Condo/Co-op,2425 L St NW #541,Washington,DC,20037,1435000,2,2.0,WASHINGTON,1540,,2006,676,932,1364,Sold,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-541/home/11745873,BRIGHT MLS,1001389239,N,Y,38.9041571,-77.0523302
PAST SALE,August-30-2017,Condo/Co-op,2500 Q St NW #326,Washington,DC,20007,405000,1,1.0,WASHINGTON,868,,1942,584,467,761,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-326/home/9928891,BRIGHT MLS,1001395165,N,Y,38.9104655,-77.0524133
PAST SALE,October-16-2017,Condo/Co-op,1111 25th St NW #501,Washington,DC,20037,680000,2,2.0,WASHINGTON,974,,2005,537,698,609,Sold,,,http://www.redfin.com/DC/Washington/1111-25th-St-NW-20037/unit-501/home/10346499,BRIGHT MLS,1000162771,N,Y,38.9045599,-77.0531137
PAST SALE,May-30-2018,Condo/Co-op,1410 26th St NW #2,Washington,DC,20007,575000,2,1.0,WASHINGTON,726,,1919,311,792,582,Sold,,,http://www.redfin.com/DC/Washington/1410-26th-St-NW-20007/unit-2/home/9928479,BRIGHT MLS,1000420720,N,Y,38.9086795,-77.0549262
PAST SALE,June-18-2018,Condo/Co-op,2501 M St NW Unit T-06,Washington,DC,20037,1104000,2,2.0,WASHINGTON,1186,,2017,292,931,760,Sold,,,http://www.redfin.com/DC/Washington/2501-M-St-NW-20037/unit-T-06/home/144409058,BRIGHT MLS,1004256897,N,Y,38.9055094,-77.053806
PAST SALE,June-12-2018,Condo/Co-op,1121 24th St NW #207,Washington,DC,20037,525000,2,1.0,WASHINGTON,561,,1940,298,936,415,Sold,,,http://www.redfin.com/DC/Washington/1121-24th-St-NW-20037/unit-207/home/146959416,BRIGHT MLS,1000487400,N,Y,38.9043982,-77.0510379
PAST SALE,May-10-2018,Townhouse,2117 N St NW #2,Washington,DC,20037,675000,2,2.0,WASHINGTON,868,,1900,331,778,179,Sold,,,http://www.redfin.com/DC/Washington/2117-N-St-NW-20037/unit-2/home/9052100,BRIGHT MLS,1000343972,N,Y,38.9073832,-77.0469861
PAST SALE,March-19-2018,Condo/Co-op,2130 N St NW #201,Washington,DC,20037,271000,0,1.0,WASHINGTON,436,,1947,383,622,370,Sold,,,http://www.redfin.com/DC/Washington/2130-N-St-NW-20037/unit-201/home/9053535,BRIGHT MLS,1000157564,N,Y,38.9071056,-77.0472923
PAST SALE,September-25-2017,Condo/Co-op,1260 21st St NW #215,Washington,DC,20036,260000,0,1.0,WASHINGTON,427,,1966,558,609,569,Sold,,,http://www.redfin.com/DC/Washington/1260-21st-St-NW-20036/unit-215/home/9052760,BRIGHT MLS,1000186891,N,Y,38.9064424,-77.0468062
PAST SALE,July-26-2018,Condo/Co-op,1301 20th St NW #804,Washington,DC,20036,488500,2,2.0,Central,695,,1973,254,703,782,Sold,,,http://www.redfin.com/DC/Washington/1301-20th-St-NW-20036/home/9060358,MRIS,DC10236633,N,Y,38.9072399,-77.0447037
PAST SALE,March-29-2018,Condo/Co-op,1301 20th St NW #607,Washington,DC,20036,340000,1,1.0,WASHINGTON,565,,1973,373,602,615,Sold,,,http://www.redfin.com/DC/Washington/1301-20th-St-NW-20036/unit-607/home/9060239,BRIGHT MLS,1004462223,N,Y,38.9072399,-77.0447037
PAST SALE,,Condo/Co-op,1330 New Hampshire Ave NW #100,Washington,DC,20036,300000,0,1.0,,405,,1963,,741,,,,,http://www.redfin.com/DC/Washington/1330-New-Hampshire-Ave-NW-20036/unit-100/home/9057443,,,N,Y,38.9083086,-77.0451575
PAST SALE,,Condo/Co-op,1330 New Hampshire Ave NW,Washington,DC,20036,330000,1,1.0,,504,,1963,,655,,,,,http://www.redfin.com/DC/Washington/1330-New-Hampshire-Ave-NW-20036/home/9057490,,,N,Y,38.9083086,-77.0451575
